complaint_text,category,priority
My internet has been down for 3 days and support is not responding.,Technical,High
I was charged twice for the same order last month.,Billing,High
My package hasn't arrived yet it's been 2 weeks since I ordered.,Delivery,Medium
I cannot log into my account it says my password is incorrect.,Account,Medium
Do you have any promotions running this month?,Other,Low
My broadband speed is extremely slow I'm getting 1 Mbps instead of 100 Mbps.,Technical,High
I received an unexpected charge of $150 on my bill.,Billing,High
The delivery guy left my package outside in the rain and it's damaged.,Delivery,High
I want to update my email address on the account.,Account,Low
What are your business hours?,Other,Low
My phone line has been completely dead since yesterday morning.,Technical,High
I was overcharged by $50 this billing cycle.,Billing,Medium
My order was delivered to the wrong address.,Delivery,High
Someone accessed my account without my permission.,Account,High
I just wanted to say your service has been great lately.,Other,Low
The Wi-Fi router you provided keeps disconnecting every hour.,Technical,Medium
I have been billed for a service I already cancelled three months ago.,Billing,High
I ordered express delivery but it arrived 5 days late.,Delivery,Medium
I need to reset my PIN but the app won't let me.,Account,Medium
Can you send me a copy of your terms and conditions?,Other,Low
My TV set-top box is not receiving any signal.,Technical,Medium
There is a duplicate transaction on my statement from last Friday.,Billing,Medium
The courier marked my package as delivered but I never received it.,Delivery,High
My account has been locked and I cannot get through to support.,Account,High
I would like information about upgrading my plan.,Other,Low
Internet has been out for 5 days I work from home and this is critical.,Technical,High
Refund not received after 30 days I was promised it within 7 days.,Billing,High
Package arrived completely crushed and the item inside is broken.,Delivery,High
Account blocked without any notification or reason given.,Account,High
Where can I find my invoice history?,Other,Low
My mobile data is not working even though I have remaining balance.,Technical,Medium
I was charged a late fee even though I paid on time.,Billing,Medium
I have been waiting over a month for my delivery with no updates.,Delivery,High
I cannot access my account statements online.,Account,Medium
How do I cancel my subscription?,Other,Low
The technician who visited made the problem worse.,Technical,High
Payment failed but money was deducted from my bank account.,Billing,High
Tracking number shows package in another city for 10 days.,Delivery,Medium
My account was closed without any warning.,Account,High
I'd like to know more about your premium plans.,Other,Low
My emails are not syncing on any of my devices.,Technical,Medium
I am being charged for international calls I never made.,Billing,High
Wrong item was delivered to me.,Delivery,Medium
I cannot change my billing address in the app.,Account,Low
How do I refer a friend?,Other,Low
The app crashes every time I try to pay my bill.,Technical,Medium
Autopayment was deducted twice this month.,Billing,High
Delivery was rescheduled 3 times with no explanation.,Delivery,Medium
My account shows a negative balance incorrectly.,Account,Medium
I want to give feedback about your new website.,Other,Low
No internet for 4 days technician appointment was missed twice.,Technical,High
I cancelled my plan but still got charged this month.,Billing,High
Item received is a completely different product than what I ordered.,Delivery,Medium
I cannot update my payment method the page keeps erroring.,Account,Medium
Do you offer student discounts?,Other,Low
Smart TV app keeps buffering even at 2am when network is idle.,Technical,Low
Small discrepancy of $2 on my bill not sure if error.,Billing,Low
Package delayed by one day due to weather understandable.,Delivery,Low
I forgot my security question answer.,Account,Low
Just wanted to check my data usage.,Other,Low
Server has been unreachable for 6 hours now I have a business.,Technical,High
Unauthorized premium subscription charged to my account.,Billing,High
Fragile item delivered without any protective packaging it broke.,Delivery,High
I think my account has been hacked please help immediately.,Account,High
What payment methods do you accept?,Other,Low
My landline has static noise on every call.,Technical,Medium
The discount I was promised on sign-up was never applied.,Billing,Medium
I requested a return 3 weeks ago and have heard nothing.,Delivery,Medium
I need to add a second user to my account.,Account,Low
Do you have a mobile app?,Other,Low
My smart home devices are not connecting to your hub anymore.,Technical,Medium
I was charged a cancellation fee even though I cancelled within the free period.,Billing,High
My shipment has been stuck at customs for 2 weeks.,Delivery,Medium
I received a password reset email I did not request.,Account,High
Can I get a VAT invoice?,Other,Low
Upload speeds are zero cannot do any video calls for work.,Technical,High
Double billing on the same date for the same plan.,Billing,High
Driver called from wrong location then marked delivered without coming.,Delivery,High
My profile picture and name were changed by someone else.,Account,High
What is the difference between your basic and pro plans?,Other,Low
I have been billed for a cancelled service for the past 3 months.,Billing,High
My credit card was charged without my consent.,Billing,High
I noticed an extra charge on my account that I did not authorize.,Billing,High
The refund I requested 2 months ago has still not appeared.,Billing,High
I was promised a discount but my bill shows full price.,Billing,Medium
My autopay deducted money twice this week.,Billing,High
I am being charged for a plan I never signed up for.,Billing,High
There is an error in my invoice from last month.,Billing,Medium
I cancelled my subscription but the charge still went through.,Billing,High
My bill this month is $200 higher than usual with no explanation.,Billing,High
I was charged a setup fee that was supposed to be waived.,Billing,Medium
The promotional rate I was offered expired without notice and I was charged full price.,Billing,Medium
I have an unexplained transaction on my account from last Tuesday.,Billing,Medium
I paid my bill on time but I am still being shown as overdue.,Billing,Medium
I requested a paper invoice but I am still being charged a paperless fee.,Billing,Low
I think there is a small error in my latest bill.,Billing,Low
My payment went through but the system still shows balance due.,Billing,High
I was charged international roaming fees even though I never left the country.,Billing,High
The tax amount on my bill seems higher than it should be.,Billing,Low
I received a final notice for a bill I already paid last week.,Billing,High
My connection drops every time it rains.,Technical,Medium
The technician never showed up for the scheduled appointment.,Technical,High
I have restarted my router multiple times but still no connection.,Technical,Medium
My download speed is a fraction of what I am paying for.,Technical,High
The app on my phone stopped working after the latest update.,Technical,Medium
I cannot make or receive calls on my landline.,Technical,High
My internet cuts out every night around 9pm without fail.,Technical,Medium
The signal strength in my house is extremely weak.,Technical,Medium
